scan_date,代碼,股票名稱,entry_price,訊號類型,訊號分數,追蹤等級,RS加權報酬%,MA位置,MA排列,K值,D值,週K值,週D值,MACD柱,趨勢突破,量能倍數,status,source_file,days_tracked,return_3d%,return_5d%,return_10d%,max_gain_5d%,max_drawdown_5d%,max_gain_10d%,max_drawdown_10d%,is_success_5d,return_1d%,return_20d%,max_gain_20d%,max_drawdown_20d%,訊號方向,成交量(張),is_profitable_5d,is_clean_win_5d
2026-07-28,1476.TW,儒鴻,339.0,週黃金交叉,76.0,A強勢追蹤,1.44,>MA5,多頭,55.1,52.9,45.8,43.6,0.6822,-,-,done,signal_tracking_20260806.csv,14.0,2.06,4.57,-2.06,5.46,-3.24,8.55,-3.24,1.0,-0.15,,8.55,-6.93,,,1.0,1.0
2026-07-28,1519.TW,華城,727.0,週即將黃金交叉,64.0,C觀察,0.46,>MA5,糾結,69.8,50.9,15.6,18.1,4.2467,-,-,done,signal_tracking_20260806.csv,14.0,-11.84,-10.84,-3.3,-9.34,-20.47,-2.34,-20.47,0.0,-16.47,,1.24,-20.47,,,0.0,0.0
2026-07-28,2002.TW,中鋼,19.0,週黃金交叉,75.0,A強勢追蹤,0.43,MA5~10,多頭,66.0,64.6,33.2,30.5,0.0636,-,-,done,signal_tracking_20260806.csv,14.0,-0.26,-0.79,3.95,1.32,-1.84,4.74,-1.84,0.0,-0.26,,4.74,-1.84,,,0.0,0.0
2026-07-28,2023.TW,燁輝,13.85,黃金交叉,66.0,B可追蹤,0.68,MA5~10,多頭,37.4,34.7,42.3,39.7,0.0022,-,-,done,signal_tracking_20260806.csv,14.0,-1.44,-1.44,0.0,0.72,-2.89,1.08,-2.89,0.0,-1.44,,1.08,-2.89,,,0.0,0.0
2026-07-28,2072.TW,世紀風電,152.5,跳空、週即將黃金交叉,61.0,C觀察,1.7,>MA5,糾結,57.1,41.3,13.0,14.7,1.5146,-,-,done,signal_tracking_20260806.csv,14.0,0.98,7.21,0.0,7.21,-3.61,9.51,-3.61,1.0,-1.97,,9.51,-3.61,,,1.0,1.0
2026-07-28,2106.TW,建大,18.4,黃金交叉,73.0,B可追蹤,2.31,>MA5,糾結,54.7,49.6,64.6,53.9,0.0445,-,-,done,signal_tracking_20260806.csv,14.0,-1.36,-0.82,2.72,3.8,-3.26,3.8,-3.26,0.0,-0.82,,3.8,-6.25,,,0.0,0.0
2026-07-28,2332.TW,友訊,23.6,週即將黃金交叉,73.0,B可追蹤,6.79,>MA5,多頭,60.0,53.2,72.1,74.4,-0.0771,-,-,done,signal_tracking_20260806.csv,14.0,-9.96,1.06,-4.24,3.39,-12.5,5.72,-12.5,0.0,1.69,,5.72,-12.5,,,1.0,0.0
2026-07-28,2388.TW,威盛,73.9,週即將黃金交叉,69.0,B可追蹤,1.32,>MA5,多頭,72.1,65.3,37.8,39.0,0.3094,-,-,done,signal_tracking_20260806.csv,14.0,-4.6,8.66,7.17,9.2,-12.45,14.61,-12.45,0.0,-8.8,,14.61,-12.45,,,1.0,0.0
2026-07-28,2412.TW,中華電,141.0,週黃金交叉,60.0,C觀察,0.27,>MA5,多頭,89.0,75.5,48.8,48.0,0.5658,-,-,done,signal_tracking_20260806.csv,14.0,-1.06,-3.19,-3.55,1.06,-3.55,1.06,-3.55,0.0,-0.35,,1.06,-4.26,,,0.0,0.0
2026-07-28,2610.TW,華航,21.75,跳空、趨勢突破,80.0,A強勢追蹤,-1.3,>MA5,糾結,52.4,43.0,50.1,60.5,-0.0675,趨勢突破,3.12,done,signal_tracking_20260806.csv,14.0,2.99,3.22,-6.9,4.14,-2.3,5.06,-8.05,0.0,-0.23,,5.06,-8.74,,,1.0,0.0
2026-07-28,2646.TW,星宇航空,21.8,黃金交叉、MACD翻正,77.0,A強勢追蹤,0.49,>MA5,糾結,51.9,48.2,61.5,56.0,0.0123,-,-,done,signal_tracking_20260806.csv,14.0,-0.69,-2.98,-4.82,0.92,-3.9,0.92,-5.73,0.0,-1.38,,0.92,-7.34,,,0.0,0.0
2026-07-28,3022.TW,威強電,89.2,週即將黃金交叉,57.0,C觀察,2.0,MA5~10,糾結,71.3,63.7,74.5,77.4,0.2306,-,-,done,signal_tracking_20260806.csv,14.0,-4.71,1.91,21.08,3.7,-8.07,30.61,-8.07,0.0,-1.35,,30.61,-8.07,,,1.0,0.0
