scan_date,代碼,股票名稱,entry_price,訊號類型,訊號方向,訊號分數,追蹤等級,RS加權報酬%,MA位置,MA排列,成交量(張),status
2026-09-21,1528.TW,恩德,27.05,廣義上升三法、漲停、漲幅達標、單跳空、周1K,買,100,A強勢追蹤,11.31,>MA5,多頭,23391.0,tracking
2026-09-21,1560.TW,中砂,896.0,廣義上升三法、雙漲停、漲停、漲幅達標、周1K,買,100,A強勢追蹤,8.57,>MA5,多頭,6133.9,tracking
2026-09-21,1617.TW,榮星,19.4,3K反轉、Buy01、周1K,買,83,A強勢追蹤,4.32,>MA5,糾結,1092.3,tracking
2026-09-21,1709.TW,和益,43.1,廣義上升三法、漲停、漲幅達標、三白兵、周1K,買,100,A強勢追蹤,8.66,>MA5,多頭,27368.4,tracking
2026-09-21,1710.TW,東聯,17.0,3K反轉、Buy01、下降趨勢線突破、周1K,買,100,A強勢追蹤,3.4,>MA5,多頭,7120.5,tracking
2026-09-21,2033.TW,佳大,33.95,三白兵,買,63,C觀察,15.1,>MA5,多頭,4515.4,tracking
2026-09-21,2104.TW,國際中橡,10.6,廣義上升三法,買,58,C觀察,1.09,>MA5,多頭,1296.6,tracking
2026-09-21,2303.TW,聯電,157.0,巧妙點,買,69,B可追蹤,7.06,>MA5,多頭,158241.2,tracking
2026-09-21,2305.TW,全友,58.7,廣義上升三法、漲幅達標、三白兵、周1K,買,100,A強勢追蹤,27.39,>MA5,多頭,13496.0,tracking
2026-09-21,2308.TW,台達電,1875.0,3K反轉、廣義上升三法、漲幅達標、下降趨勢線突破,買,95,A強勢追蹤,5.13,>MA5,糾結,18992.2,tracking
2026-09-21,2328.TW,廣宇,47.75,3K反轉、廣義上升三法、下降趨勢線突破,買,92,A強勢追蹤,2.31,>MA5,糾結,3330.6,tracking
2026-09-21,2332.TW,友訊,20.55,廣義上升三法、周1K,買,69,B可追蹤,2.03,>MA5,糾結,16716.9,tracking
2026-09-21,2338.TW,光罩,49.05,上升趨勢線跌破,買,58,C觀察,5.89,>MA5,多頭,12196.3,tracking
2026-09-21,2340.TW,台亞,34.5,3K反轉、廣義上升三法,買,72,B可追蹤,3.03,>MA5,糾結,2467.4,tracking
2026-09-21,2352.TW,佳世達,29.6,布林縮窄突破,買,66,B可追蹤,1.26,>MA5,多頭,8876.9,tracking
2026-09-21,2360.TW,致茂,2375.0,島狀反轉、KD高腳、單跳空,買,99,A強勢追蹤,5.28,>MA5,糾結,3778.5,tracking
2026-09-21,2363.TW,矽統,59.0,3K反轉、布林縮窄突破、漲停、漲幅達標,買,100,A強勢追蹤,6.24,>MA5,多頭,14106.9,tracking
2026-09-21,2369.TW,菱生,32.25,雙跳空,買,56,C觀察,2.27,>MA5,糾結,22622.8,tracking
2026-09-21,2371.TW,大同,30.0,3K反轉、廣義上升三法、周1K,買,100,A強勢追蹤,3.55,>MA5,多頭,20988.5,tracking
2026-09-21,2376.TW,技嘉,368.0,3K反轉、廣義上升三法、布林縮窄突破、Buy01,買,100,A強勢追蹤,3.03,>MA5,糾結,11621.0,tracking
2026-09-21,2379.TW,瑞昱,740.0,3K反轉、廣義上升三法,買,69,B可追蹤,1.44,>MA5,糾結,2959.3,tracking
2026-09-21,2382.TW,廣達,344.5,廣義上升三法,買,62,C觀察,1.94,>MA5,多頭,8214.0,tracking
2026-09-21,2392.TW,正崴,44.55,3K反轉、Buy01、周1K,買,56,C觀察,1.7,>MA5,空頭,5134.4,tracking
2026-09-21,2395.TW,研華,706.0,3K反轉、廣義上升三法、Buy01,買,88,A強勢追蹤,2.52,>MA5,糾結,2084.6,tracking
2026-09-21,2399.TW,映泰,49.45,廣義上升三法,買,74,B可追蹤,2.87,>MA5,多頭,11196.1,tracking
2026-09-21,2404.TW,漢唐,1130.0,廣義上升三法、布林縮窄突破,買,69,B可追蹤,3.61,>MA5,糾結,2089.5,tracking
2026-09-21,2406.TW,國碩,30.4,漲停、漲幅達標,買,57,C觀察,4.59,>MA5,糾結,12308.3,tracking
