股票代號,ETF名稱,啟用
00400A,主動國泰動能高息,1
00401A,主動摩根台灣鑫收,1
00402A,主動安聯美國科技,1
00403A,主動統一升級50,1
00404A,主動聯博動能50,1
00405A,主動富邦台灣龍耀,1
00406A,主動中信台灣收益,1
00407A,主動凱基台灣,1
00408A,主動第一金優股息,1
00410A,主動永豐科技趨勢,1
00980A,主動野村臺灣優選,1
00981A,主動統一台股增長,1
00982A,主動群益台灣強棒,1
00982D,主動富邦動態入息,1
00983A,主動中信ARK創新,1
00983D,主動富邦複合收益,1
00984A,主動安聯台灣高息,1
00984D,主動聯博全球非投,0
00985A,主動野村台灣50,1
00986A,主動台新龍頭成長,1
00987A,主動台新優勢成長,1
00988A,主動統一全球創新,0
00989A,主動摩根美國科技,0
00990A,主動元大AI新經濟,1
00991A,主動復華未來50,1
00992A,主動群益科技創新,0
00993A,主動安聯台灣,1
00994A,主動第一金台股優,1
00995A,主動中信台灣卓越,1
00996A,主動兆豐台灣豐收,1
00997A,主動群益美國增長,0
00999A,主動野村臺灣高息,1
